"ID","start_age","grid","death_day","death_age"
491,85,1,1686,89.6192
492,33,1,13001,68.6192
493,52,2,3719,62.189
494,65,3,8378,87.9534
495,34,1,14561,73.8932
496,89,3,2348,95.4329
497,42,3,12581,76.4685
498,32,3,22962,94.9096
499,64,2,5795,79.8767
500,70,3,4313,81.8164
501,46,3,10322,74.2795
502,47,1,7701,68.0986
503,43,1,7590,63.7945
504,33,1,23403,97.1178
505,47,3,9915,74.1644
506,38,1,9369,63.6685
507,56,2,6202,72.9918
508,54,1,5191,68.2219
509,82,3,5375,96.726
510,46,2,8257,68.6219
511,52,2,12243,85.5425
512,33,2,6497,50.8
513,75,2,648,76.7753
514,49,1,10377,77.4301
515,67,2,10224,95.011
516,38,3,10906,67.8795
517,51,3,9623,77.3644
518,69,3,9841,95.9616
519,32,1,15256,73.7973
520,71,1,6347,88.389
521,44,3,7826,65.4411
522,47,2,15235,88.7397
523,44,1,14808,84.5699
524,31,1,8418,54.063
525,55,1,8805,79.1233
526,63,2,3615,72.9041
527,78,2,8160,100.3562
528,31,2,24572,98.3205
529,88,3,1239,91.3945
530,44,1,16279,88.6
531,81,1,4438,93.1589
532,64,2,5586,79.3041
533,51,2,12030,83.9589
534,72,2,2154,77.9014
535,31,3,22696,93.1808
536,67,3,100,67.274
537,46,1,10591,75.0164
538,72,2,3427,81.389
539,56,1,6093,72.6932
540,43,1,13394,79.6959
541,71,1,5915,87.2055
542,34,1,15246,75.7699
543,73,1,368,74.0082
544,43,3,16936,89.4
545,68,1,3266,76.9479
546,84,1,2652,91.2658
547,33,2,11578,64.7205
548,74,1,1106,77.0301
549,71,3,255,71.6986
550,48,3,4467,60.2384
551,45,2,15817,88.3342
552,39,3,18266,89.0438
553,57,3,5157,71.1288
554,77,2,6392,94.5123
555,55,3,4795,68.137
556,58,3,964,60.6411
557,62,1,7375,82.2055
558,55,1,15798,98.2822
559,54,3,8377,76.9507
560,30,1,12395,63.9589
561,32,3,21717,91.4986
562,80,2,58,80.1589
563,69,3,3754,79.2849
564,39,3,8517,62.3342
565,62,1,10038,89.5014
566,62,2,2943,70.063
567,48,1,7595,68.8082
568,71,1,3944,81.8055
569,56,2,12573,90.4466
570,77,2,7968,98.8301
571,56,1,7745,77.2192
572,78,3,1351,81.7014
573,58,1,11896,90.5918
574,50,2,9180,75.1507
575,83,2,3060,91.3836
576,65,1,7586,85.7836
577,49,2,17489,96.9151
578,30,1,19112,82.3616
579,57,1,8327,79.8137
580,53,1,5722,68.6767
581,76,3,1300,79.5616
582,71,2,11643,102.8986
583,74,1,3629,83.9425
584,47,1,14471,86.6466
585,76,2,8796,100.0986
586,37,3,17349,84.5315
587,43,3,16284,87.6137
588,63,1,625,64.7123
589,86,1,180,86.4932
590,58,2,7367,78.1836
591,55,3,1469,59.0247
592,32,3,10226,60.0164
593,85,1,4712,97.9096
594,35,2,15233,76.7342
595,34,2,18566,84.8658
596,76,1,2504,82.8603
597,54,1,8193,76.4466
598,46,1,9882,73.074
599,77,1,2676,84.3315
600,31,3,22615,92.9589
601,41,1,16830,87.1096
602,64,3,10203,91.9534
603,40,1,18618,91.0082
604,45,2,12246,78.5507
605,38,2,16292,82.6356
606,71,1,5845,87.0137
607,36,2,10182,63.8959
608,72,2,7364,92.1753
609,45,3,12775,80
610,47,3,13409,83.737
611,61,1,10187,88.9096
612,34,2,11901,66.6055
613,31,1,20102,86.074
614,89,1,4279,100.7233
615,58,1,1710,62.6849
616,69,3,6499,86.8055
617,77,1,4804,90.1616
618,68,3,4127,79.3068
619,86,3,848,88.3233
620,32,1,17623,80.2822
621,78,2,511,79.4
622,75,1,8706,98.8521
623,69,3,3836,79.5096
624,48,1,6894,66.8877
625,31,2,19875,85.4521
626,47,1,4018,58.0082
627,43,1,13759,80.6959
628,74,2,541,75.4822
629,47,1,14351,86.3178
630,44,2,12082,77.1014
631,68,3,1616,72.4274
632,74,2,3422,83.3753
633,52,1,11184,82.6411
634,66,3,5637,81.4438
635,34,2,6821,52.6877
636,40,1,9058,64.8164
637,83,1,3732,93.2247
638,67,1,2339,73.4082
639,72,2,6857,90.7863
640,50,1,12994,85.6
641,59,2,7748,80.2274
642,70,2,8209,92.4904
643,77,1,3471,86.5096
644,48,2,4058,59.1178
645,34,1,19022,86.1151
646,60,1,9458,85.9123
647,67,3,11149,97.5452
648,34,2,9464,59.9288
649,44,3,13082,79.8411
650,60,3,4211,71.537
651,68,3,8189,90.4356
652,79,3,1984,84.4356
653,53,2,4867,66.3342
654,57,1,9435,82.8493
655,67,1,9259,92.3671
656,74,2,4193,85.4877
657,79,1,836,81.2904
658,32,3,24326,98.6466
659,54,1,12538,88.3507
660,46,1,3992,56.937
661,74,3,3308,83.063
662,71,3,626,72.7151
663,35,3,11140,65.5205
664,65,1,12026,97.9479
665,41,3,16590,86.4521
666,33,2,17054,79.7233
667,81,1,1590,85.3562
668,37,3,18225,86.9315
669,61,3,8030,83
670,38,2,12092,71.1288
671,30,1,22871,92.6603
672,55,2,2526,61.9205
673,34,3,18013,83.3507
674,43,2,16632,88.5671
675,50,2,2870,57.863
676,58,2,4105,69.2466
677,71,2,5709,86.6411
678,39,1,7598,59.8164
679,52,1,13867,89.9918
680,51,1,2534,57.9425
681,66,3,6413,83.5699
682,65,1,10774,94.5178
683,73,1,3376,82.2493
684,77,1,5088,90.9397
685,83,3,809,85.2164
686,56,3,11087,86.3753
687,55,3,4042,66.074
688,38,3,22388,99.337
689,53,1,9720,79.6301
690,42,2,14285,81.137
691,31,3,10547,59.8959
692,61,1,7785,82.3288
693,56,1,12288,89.6658
694,36,2,16029,79.9151
695,43,3,21691,102.4274
696,58,2,13676,95.4685
697,37,2,17936,86.1397
698,34,3,16153,78.2548
699,50,1,13411,86.7425
700,47,1,8851,71.2493
701,74,3,10666,103.2219
702,42,1,12652,76.663
703,31,3,14670,71.1918
704,75,1,4218,86.5562
705,46,3,15858,89.4466
706,61,1,12032,93.9644
707,56,2,10292,84.1973
708,48,3,10087,75.6356
709,38,2,21551,97.0438
710,50,1,10351,78.3589
711,61,1,5314,75.5589
712,55,1,1054,57.8877
713,62,3,752,64.0603
714,66,2,10453,94.6384
715,53,2,13858,90.9671
716,48,3,15531,90.5507
717,30,2,18823,81.5699
718,30,3,21758,89.611
719,89,1,68,89.1863
720,35,3,21572,94.1014
721,50,2,6444,67.6548
722,65,1,10933,94.9534
723,67,1,481,68.3178
724,76,3,10520,104.8219
725,59,3,8295,81.726
726,68,3,229,68.6274
727,74,1,4663,86.7753
728,60,2,9698,86.5699
729,70,2,6984,89.1342
730,31,2,2757,38.5534
731,50,1,3673,60.063
732,76,1,9846,102.9753
733,61,3,12330,94.7808
734,80,3,2716,87.4411
735,38,3,13716,75.5781
736,45,3,8475,68.2192
737,71,1,5056,84.8521
738,88,2,641,89.7562
739,45,1,1119,48.0658
740,30,1,8537,53.389
741,89,3,2698,96.3918
742,37,1,20846,94.1123
743,32,2,23483,96.337
744,59,1,11698,91.0493
745,45,2,11837,77.4301
746,55,1,19116,107.3726
747,70,2,5373,84.7205
748,33,1,14935,73.9178
749,64,3,9875,91.0548
750,82,1,1729,86.737
751,43,3,12924,78.4082
752,41,3,10718,70.3644
753,37,2,17089,83.8192
754,33,1,11259,63.8466
755,57,3,11641,88.8932
756,53,1,4167,64.4164
757,53,2,7878,74.5836
758,77,1,644,78.7644
759,31,2,19479,84.3671
760,39,1,13455,75.863
761,54,1,16393,98.9123
762,41,3,12302,74.7041
763,58,1,17004,104.5863
764,53,1,9268,78.3918
765,57,3,11273,87.8849
766,36,1,14558,75.8849
767,36,1,6893,54.8849
768,49,1,10621,78.0986
769,63,2,3719,73.189
770,62,2,9507,88.0466
771,79,1,731,81.0027
772,71,2,1719,75.7096
773,63,3,3104,71.5041
774,71,3,9500,97.0274
775,36,2,14489,75.6959
776,41,2,14251,80.0438
777,45,1,18653,96.1041
778,49,3,14708,89.2959
779,61,1,6791,79.6055
780,71,1,6084,87.6685
781,42,3,4468,54.2411
782,72,3,9514,98.0658
783,30,3,28731,108.7151
784,62,3,9520,88.0822
785,71,2,7579,91.7644
786,52,3,8134,74.2849
787,39,2,8610,62.589
788,30,2,25306,99.3315
789,43,1,10788,72.5562
790,79,2,5827,94.9644
791,81,3,1191,84.263
792,56,1,13296,92.4274
793,40,1,12193,73.4055
794,53,1,9942,80.2384
795,71,1,3122,79.5534
796,49,1,14207,87.9233
797,34,1,16650,79.6164
798,43,1,8431,66.0986
799,47,3,15991,90.811
800,42,3,7625,62.8904
801,52,3,15285,93.8767
802,47,1,6022,63.4986
803,35,1,16181,79.3315
804,32,2,20124,87.1342
805,42,3,15834,85.3808
806,85,3,1828,90.0082
807,53,1,13814,90.8466
